Informática 2;;;;;;
Hora;Segunda-feira;Terça-feira;Quarta-feira;Quinta-feira;Sexta-feira;
7:00;Arquitetura de Computadores;Física I;Introdução ao Banco de Dados;Matemática II;Português II;abc
;Jefferson;Arquimedes;Nélio;Cícero D;Vera;
7:50;Arquitetura de Computadores;Algoritmos e Estruturas de Dados;Introdução ao Banco de Dados;Português II;Português II;abc
;Jefferson;Rodrigo;Nélio;Vera;Vera;
8:40;Inglês II;Sociologia II;Algoritmos e Estruturas de Dados;Geografia II;Matemática II;abc
;Cláudia;Rômulo Amorim;Rodrigo;Alexandre;Cícero D;
9:30;INTERVALO;;;;;
;;;;;;
9:50;Inglês II;Sociologia II;Algoritmos e Estruturas de Dados;Geografia II;Matemática II;abc
;Cláudia;Rômulo Amorim;Rodrigo;Alexandre;Cícero D;
10:40;Química II;História I;Física I;Filosofia II;Biologia I;abc
;Sayonara;Divino;Arquimedes;Michel;Dayana;
11:30;Química II;História I;Física I;Filosofia II;Biologia I;abc
;Sayonara;Divino;Arquimedes;Michel;Dayana;
12:20;ALMOÇO;;;;;
;;;;;;
13:00;;;;;;abc
;;;;;;
13:50;;;Educação Física II;;;abc
;;;Ramon;;;
14:40;INTERVALO;;;;;
;;;;;;
15:00;;;Educação Física II;;;abc
;;;Ramon;;;
15:50;;;Educação Física II;;;abc
;;;Ramon;;;
16:40;;;;;;abc
;;;;;;
17:30;JANTAR;;;;;
;;;;;;
18:00;;;;;;abc
;;;;;;
18:50;;;;;;abc
;;;;;;
19:40;;;;;;abc
;;;;;;
20:30;INTERVALO;;;;;
;;;;;;
20:40;;;;;;abc
;;;;;;
21:30;;;;;;abc
;;;;;;